date,ag_prices,cattle,cattle_feed,census_hort,cold_stor,crop_prog_cond,dairy_prod,hop_stocks,live_slaughter,local_foods,rice_stocks,organic
01/01/19,,,,,,,,,,,,
01/02/19,,,,,,,,,,,,
01/03/19,,,,,,,,,,,,
01/04/19,,,,,,,,,,,,
01/05/19,,,,,,,,,,,,
01/06/19,,,,,,,,,,,,
01/07/19,,,,,,,,,,,,
01/08/19,,,,,,,,,,,,
01/09/19,,,,,,,,,,,,
01/10/19,,,,,,,,,,,,
01/11/19,,,,,,,,,,,1,
01/12/19,,,,,,,,,,,,
01/13/19,,,,,,,,,,,,
01/14/19,,,,,,,,,,,,
01/15/19,,,,,,,,,,,,
01/16/19,,,,,,,,,,,,
01/17/19,,,,,,,,,,,,
01/18/19,,,,,,,,,,,,
01/19/19,,,,,,,,,,,,
01/20/19,,,,,,,,,,,,
01/21/19,,,,,,,,,,,,
01/22/19,,,,,1,,,,,,,
01/23/19,,,,,,,,,,,,
01/24/19,,,,,,,,,1,,,
01/25/19,,,1,,,,,,,,,
01/26/19,,,,,,,,,,,,
01/27/19,,,,,,,,,,,,
01/28/19,,,,,,,,,,,,
01/29/19,,,,,,,,,,,,
01/30/19,,,,,,,,,,,,
01/31/19,1,,,,,,,,,,,
02/01/19,,,,,,,,,,,,
02/02/19,,,,,,,,,,,,
02/03/19,,,,,,,,,,,,
02/04/19,,,,,,,1,,,,,
02/05/19,,,,,,,,,,,,
02/06/19,,,,,,,,,,,,
02/07/19,,,,,,,,,,,,
02/08/19,,,,,,,,,,,,
02/09/19,,,,,,,,,,,,
02/10/19,,,,,,,,,,,,
02/11/19,,,,,,,,,,,,
02/12/19,,,,,,,,,,,,
02/13/19,,,,,,,,,,,,
02/14/19,,,,,,,,,,,,
02/15/19,,,,,,,,,,,,
02/16/19,,,,,,,,,,,,
02/17/19,,,,,,,,,,,,
02/18/19,,,,,,,,,,,,
02/19/19,,,,,,,,,,,,
02/20/19,,,,,,,,,,,,
02/21/19,,,,,,,,,1,,,
02/22/19,,,1,,1,,,,,,,
02/23/19,,,,,,,,,,,,
02/24/19,,,,,,,,,,,,
02/25/19,,,,,,,,,,,,
02/26/19,,,,,,,,,,,,
02/27/19,,,,,,,,,,,,
02/28/19,1,,,,,,,,,,,
03/01/19,,,,,,,,,,,,
03/02/19,,,,,,,,,,,,
03/03/19,,,,,,,,,,,,
03/04/19,,,,,,,1,,,,,
03/05/19,,1,,,,,,,,,1,
03/06/19,,,,,,,,,,,,
03/07/19,,,,,,,,,,,,
03/08/19,,,,,,,,,,,,
03/09/19,,,,,,,,,,,,
03/10/19,,,,,,,,,,,,
03/11/19,,,,,,,,,,,,
03/12/19,,,,,,,,,,,,
03/13/19,,,,,,,,,,,,
03/14/19,,,,,,,,1,,,,
03/15/19,,,,,,,,,,,,
03/16/19,,,,,,,,,,,,
03/17/19,,,,,,,,,,,,
03/18/19,,,,,,,,,,,,
03/19/19,,,,,,,,,,,,
03/20/19,,,,,,,,,,,,
03/21/19,,,,,,,,,,,,
03/22/19,,,1,,,,,,,,,
03/23/19,,,,,,,,,,,,
03/24/19,,,,,,,,,,,,
03/25/19,,,,,,,,,,,,
03/26/19,,,,,,,,,,,,
03/27/19,,,,,,,,,,,,
03/28/19,1,,,,,,,,,,,
03/29/19,,,,,,,,,,,1,
03/30/19,,,,,,,,,,,,
03/31/19,,,,,,,,,,,,
04/01/19,,,,,,,,,,,,
04/02/19,,,,,,,,,,,,
04/03/19,,,,,,,1,,,,,
04/04/19,,,,,,,,,,,,
04/05/19,,,,,,,,,,,,
04/06/19,,,,,,,,,,,,
04/07/19,,,,,,,,,,,,
04/08/19,,,,,,,,,,,,
04/09/19,,,,,,,,,,,,
04/10/19,,,,,,,,,,,,
04/11/19,,,,,,,,,,,,
04/12/19,,,,,,,,,,,,
04/13/19,,,,,,,,,,,,
04/14/19,,,,,,,,,,,,
04/15/19,,,,,,1,,,,,,
04/16/19,,,,,,,,,,,,
04/17/19,,,,,,,,,,,,
04/18/19,,,1,,,,,,,,,
04/19/19,,,,,,,,,,,,
04/20/19,,,,,,,,,,,,
04/21/19,,,,,,,,,,,,
04/22/19,1,,,,,1,,,,,,
04/23/19,,,,,,,,,,,,
04/24/19,,,,,,,,,,,,
04/25/19,,,,,,,,,,,,
04/26/19,,,,,,,,,,,,
04/27/19,,,,,,,,,,,,
04/28/19,,,,,,,,,,,,
04/29/19,,,,,,1,,,,,1,
04/30/19,1,,,,,,,,,,,
05/01/19,,,,,,,,,,,,
05/02/19,,,,,,,1,,,,,
05/03/19,,,,,,,,,,,,
05/04/19,,,,,,,,,,,,
05/05/19,,,,,,,,,,,,
05/06/19,,,,,,1,,,,,,
05/07/19,,,,,,,,,,,,
05/08/19,,,,,,,,,,,,
05/09/19,,,,,,,,,,,,
05/10/19,,,,,,,,,,,,
05/11/19,,,,,,,,,,,,
05/12/19,,,,,,,,,,,,
05/13/19,,,,,,1,,,,,,
05/14/19,,,,,,,,,,,,
05/15/19,,,,,,,,,,,,
05/16/19,,,,,,,,,,,,
05/17/19,,,,,,,,,,,,
05/18/19,,,,,,,,,,,,
05/19/19,,,,,,,,,,,,
05/20/19,,,,,,1,,,,,,
05/21/19,,,,,,,,,,,,
05/22/19,,,,,,,,,,,,
05/23/19,,,,,,,,,1,,,
05/24/19,,,1,,,,,,,,,
05/25/19,,,,,,,,,,,,
05/26/19,,,,,,,,,,,,
05/27/19,,,,,,,,,,,,
05/28/19,,,,,,1,,,,,,
05/29/19,,,,,,,,,,,,
05/30/19,,,,,,,,,,,,
05/31/19,1,,,,,,,,,,,
06/01/19,,,,,,,,,,,,
06/02/19,,,,,,,,,,,,
06/03/19,,,,,,1,,,,,,
06/04/19,,,,,,,1,,,,,
06/05/19,,,,,,,,,,,,
06/06/19,,,,,,,,,,,,
06/07/19,,,,,,,,,,,,
06/08/19,,,,,,,,,,,,
06/09/19,,,,,,,,,,,,
06/10/19,,,,,,1,,,,,,
06/11/19,,,,,,,,,,,,
06/12/19,,,,,,,,,,,,
06/13/19,,,,,,,,,,,,
06/14/19,,,,,,,,,,,,
06/15/19,,,,,,,,,,,,
06/16/19,,,,,,,,,,,,
06/17/19,,,,,,1,,,,,,
06/18/19,,,,,,,,,,,,
06/19/19,,,,,,,,,,,,
06/20/19,,,,,,,,,1,,,
06/21/19,,,1,,1,,,,,,,
06/22/19,,,,,,,,,,,,
06/23/19,,,,,,,,,,,,
06/24/19,,,,,,1,,,,,,
06/25/19,,,,,,,,,,,,
06/26/19,,,,,,,,,,,,
06/27/19,1,,,,,,,,,,,
06/28/19,,,,,,,,,,,1,
06/29/19,,,,,,,,,,,,
06/30/19,,,,,,,,,,,,
07/01/19,,,,,,1,,,,,,
07/02/19,,,,,,,,,,,,
07/03/19,,,,,,,1,,,,,
07/04/19,,,,,,,,,,,,
07/05/19,,,,,,,,,,,,
07/06/19,,,,,,,,,,,,
07/07/19,,,,,,,,,,,,
07/08/19,,,,,,1,,,,,,
07/09/19,,,,,,,,,,,,
07/10/19,,,,,,,,,,,,
07/11/19,,,,,,,,,,,,
07/12/19,,,,,,,,,,,,
07/13/19,,,,,,,,,,,,
07/14/19,,,,,,,,,,,,
07/15/19,,,,,,1,,,,,,
07/16/19,,,,,,,,,,,,
07/17/19,,,,,,,,,,,,
07/18/19,,,,,,,,,,,,
07/19/19,,1,1,,,,,,,,,
07/20/19,,,,,,,,,,,,
07/21/19,,,,,,,,,,,,
07/22/19,,,,,1,1,,,,,,
07/23/19,,,,,,,,,,,,
07/24/19,,,,,,,,,,,,
07/25/19,,,,,,,,,,,,
07/26/19,,,,,,,,,,,,
07/27/19,,,,,,,,,,,,
07/28/19,,,,,,,,,,,,
07/29/19,,,,,,1,,,,,,
07/30/19,,,,,,,,,,,,
07/31/19,1,,,,,,,,,,,
08/01/19,,,,,,,1,,,,,
08/02/19,,,,,,,,,,,,
08/03/19,,,,,,,,,,,,
08/04/19,,,,,,,,,,,,
08/05/19,,,,,,1,,,,,,
08/06/19,,,,,,,,,,,,
08/07/19,,,,,,,,,,,,
08/08/19,,,,,,,,,,,,
08/09/19,,,,,,,,,,,,
08/10/19,,,,,,,,,,,,
08/11/19,,,,,,,,,,,,
08/12/19,,,,,,1,,,,,,
08/13/19,,,,,,,,,,,,
08/14/19,,,,,,,,,,,,
08/15/19,,,,,,,,,,,,
08/16/19,,,,,,,,,,,,
08/17/19,,,,,,,,,,,,
08/18/19,,,,,,,,,,,,
08/19/19,,,,,,1,,,,,,
08/20/19,,,,,,,,,,,,
08/21/19,,,,,,,,,,,,
08/22/19,,,,,1,,,,1,,,
08/23/19,,,1,,,,,,,,1,
08/24/19,,,,,,,,,,,,
08/25/19,,,,,,,,,,,,
08/26/19,,,,,,1,,,,,,
08/27/19,,,,,,,,,,,,
08/28/19,,,,,,,,,,,,
08/29/19,,,,,,,,,,,,
08/30/19,1,,,,,,,,,,,
08/31/19,,,,,,,,,,,,
09/01/19,,,,,,,,,,,,
09/02/19,,,,,,,,,,,,
09/03/19,,,,,,1,,,,,,
09/04/19,,,,,,,1,,,,,
09/05/19,,,,,,,,,,,,
09/06/19,,,,,,,,,,,,
09/07/19,,,,,,,,,,,,
09/08/19,,,,,,,,,,,,
09/09/19,,,,,,1,,,,,,
09/10/19,,,,,,,,,,,,
09/11/19,,,,,,,,,,,,
09/12/19,,,,,,,,,,,,
09/13/19,,,,,,,,,,,,
09/14/19,,,,,,,,,,,,
09/15/19,,,,,,,,,,,,
09/16/19,,,,,,1,,,,,,
09/17/19,,,,,,,,,,,,
09/18/19,,,,,,,,1,,,,
09/19/19,,,,,,,,,1,,,
09/20/19,,,1,,,,,,,,,
09/21/19,,,,,,,,,,,,
09/22/19,,,,,,,,,,,,
09/23/19,,,,,1,1,,,,,,
09/24/19,,,,,,,,,,,,
09/25/19,,,,,,,,,,,,
09/26/19,,,,,,,,,,,,
09/27/19,1,,,,,,,,,,,
09/28/19,,,,,,,,,,,,
09/29/19,,,,,,,,,,,,
09/30/19,,,,,,1,,,,,,
10/01/19,,,,,,,,,,,,
10/02/19,,,,,,,,,,,,
10/03/19,,,,,,,1,,,,,
10/04/19,,,,,,,,,,,,
10/05/19,,,,,,,,,,,,
10/06/19,,,,,,,,,,,,
10/07/19,,,,,,1,,,,,,
10/08/19,,,,,,,,,,,,
10/09/19,,,,,,,,,,,,
10/10/19,,,,,,,,,,,,
10/11/19,,,,,,,,,,,,
10/12/19,,,,,,,,,,,,
10/13/19,,,,,,,,,,,,
10/14/19,,,,,,,,,,,,
10/15/19,,,,,,1,,,,,,
10/16/19,,,,,,,,,,,,
10/17/19,,,,,,,,,,,,
10/18/19,,,,,,,,,,,,
10/19/19,,,,,,,,,,,,
10/20/19,,,,,,,,,,,,
10/21/19,,,,,,1,,,,,,
10/22/19,,,,,1,,,,,,,
10/23/19,,,,,,,,,,,,
10/24/19,,,,,,,,1,,,,
10/25/19,,,1,,,,,,,,1,
10/26/19,,,,,,,,,,,,
10/27/19,,,,,,,,,,,,
10/28/19,,,,,,1,,,,,,
10/29/19,,,,,,,,,,,,
10/30/19,,,,,,,,,,,,
10/31/19,1,,,,,,,,,,,
11/01/19,,,,,,,,,,,,
11/02/19,,,,,,,,,,,,
11/03/19,,,,,,,,,,,,
11/04/19,,,,,,1,,,,,,
11/05/19,,,,,,,1,,,,,
11/06/19,,,,,,,,,,,,
11/07/19,,,,,,,,,,,,
11/08/19,,,,,,,,,,,,
11/09/19,,,,,,,,,,,,
11/10/19,,,,,,,,,,,,
11/11/19,,,,,,,,,,,,
11/12/19,,,,,,1,,,,,,
11/13/19,,,,,,,,,,,,
11/14/19,,,,,,,,,,,,
11/15/19,,,,,,,,,,,,
11/16/19,,,,,,,,,,,,
11/17/19,,,,,,,,,,,,
11/18/19,,,,,,1,,,,,,
11/19/19,,,,,,,,,,,,
11/20/19,,,,,,,,,,,,
11/21/19,,,,,,,,,1,,,
11/22/19,,,1,,1,,,,,,,
11/23/19,,,,,,,,,,,,
11/24/19,,,,,,,,,,,,
11/25/19,,,,,,1,,,,,,
11/26/19,,,,,,,,,,,,
11/27/19,1,,,,,,,,,,,
11/28/19,,,,,,,,,,,,
11/29/19,,,,,,,,,,,,
11/30/19,,,,,,,,,,,,
12/01/19,,,,,,,,,,,,
12/02/19,,,,,,,,,,,,
12/03/19,,,,,,,,,,,,
12/04/19,,,,,,,1,,,,,
12/05/19,,,,,,,,,,,,
12/06/19,,,,,,,,,,,,
12/07/19,,,,,,,,,,,,
12/08/19,,,,,,,,,,,,
12/09/19,,,,,,,,,,,,
12/10/19,,,,,,,,,,,,
12/11/19,,,,,,,,,,,,
12/12/19,,,,,,,,,,,,
12/13/19,,,,,,,,,,,,
12/14/19,,,,,,,,,,,,
12/15/19,,,,,,,,,,,,
12/16/19,,,,,,,,,,,,
12/17/19,,,,,,,,,,,,
12/18/19,,,,,,,,1,,,,
12/19/19,,,,,,,,,1,,,
12/20/19,,1,,,,,,,,,,
12/21/19,,,,,,,,,,,,
12/22/19,,,,,,,,,,,,
12/23/19,,,,,1,,,,,,,
12/24/19,,,,,,,,,,,,
12/25/19,,,,,,,,,,,,
12/26/19,,,,,,,,,,,,
12/27/19,1,,,,,,,,,,,
12/28/19,,,,,,,,,,,,
12/29/19,,,,,,,,,,,,
12/30/19,,,,,,,,,,,,
12/31/19,,,,,,,,,,,,
01/01/20,,,,,,,,,,,,
01/02/20,,,,,,,,,,,,
01/03/20,,,,,,,,,,,,
01/04/20,,,,,,,,,,,,
01/05/20,,,,,,,,,,,,
01/06/20,,,,,,,1,,,,,
01/07/20,,,,,,,,,,,,
01/08/20,,,,,,,,,,,,
01/09/20,,,,,,,,,,,,
01/10/20,,,,,,,,,,,1,
01/11/20,,,,,,,,,,,,
01/12/20,,,,,,,,,,,,
01/13/20,,,,,,,,,,,,
01/14/20,,,,,,,,,,,,
01/15/20,,,,,,,,,,,,
01/16/20,,,,,,,,,,,,
01/17/20,,,,,,,,,,,,
01/18/20,,,,,,,,,,,,
01/19/20,,,,,,,,,,,,
01/20/20,,,,,,,,,,,,
01/21/20,,,,,,,,,,,,
01/22/20,,,,,1,,,,,,,
01/23/20,,,,,,,,,1,,,
01/24/20,,,1,,,,,,,,,
01/25/20,,,,,,,,,,,,
01/26/20,,,,,,,,,,,,
01/27/20,,,,,,,,,,,,
01/28/20,,,,,,,,,,,,
01/29/20,,,,,,,,,,,,
01/30/20,,,,,,,,,,,,
01/31/20,1,1,,,,,,,,,,
02/01/20,,,,,,,,,,,,
02/02/20,,,,,,,,,,,,
02/03/20,,,,,,,,,,,,
02/04/20,,,,,,,1,,,,,
02/05/20,,,,,,,,,,,,
02/06/20,,,,,,,,,,,,
02/07/20,,,,,,,,,,,,
02/08/20,,,,,,,,,,,,
02/09/20,,,,,,,,,,,,
02/10/20,,,,,,,,,,,,
02/11/20,,,,,,,,,,,,
02/12/20,,,,,,,,,,,,
02/13/20,,,,,,,,,,,,
02/14/20,,,,,,,,,,,,
02/15/20,,,,,,,,,,,,
02/16/20,,,,,,,,,,,,
02/17/20,,,,,,,,,,,,
02/18/20,,,,,,,,,,,,
02/19/20,,,,,,,,,,,,
02/20/20,,,,,,,,,1,,,
02/21/20,,,1,,,,,,,,,
02/22/20,,,,,,,,,,,,
02/23/20,,,,,,,,,,,,
02/24/20,,,,,1,,,,,,,
02/25/20,,,,,,,,,,,,
02/26/20,,,,,,,,,,,,
02/27/20,,,,,,,,,,,,
02/28/20,1,,,,1,,,,,,,
02/29/20,,,,,,,,,,,,
03/01/20,,,,,,,,,,,,
03/02/20,,,,,,,,,,,,
03/03/20,,,,,,,,,,,,
03/04/20,,,,,,,1,,,,,
03/05/20,,,,,,,,,,,1,
03/06/20,,,,,,,,,,,,
03/07/20,,,,,,,,,,,,
03/08/20,,,,,,,,,,,,
03/09/20,,,,,,,,,,,,
03/10/20,,,,,,,,,,,,
03/11/20,,,,,,,,,,,,
03/12/20,,,,,,,,,,,,
03/13/20,,,,,,,,,,,,
03/14/20,,,,,,,,,,,,
03/15/20,,,,,,,,,,,,
03/16/20,,,,,,,,,,,,
03/17/20,,,,,,,,,,,,
03/18/20,,,,,,,,1,,,,
03/19/20,,,,,,,,,1,,,
03/20/20,,,1,,,,,,,,,
03/21/20,,,,,,,,,,,,
03/22/20,,,,,,,,,,,,
03/23/20,,,,,1,,,,,,,
03/24/20,,,,,,,,,,,,
03/25/20,,,,,,,,,,,,
03/26/20,,,,,,,,,,,,
03/27/20,,,,,,,,,,,,
03/28/20,,,,,,,,,,,,
03/29/20,,,,,,,,,,,,
03/30/20,,,,,,,,,,,,
03/31/20,1,,,,,,,,,,1,
04/01/20,,,,,,,,,,,,
04/02/20,,,,,,,1,,,,,
04/03/20,,,,,,,,,,,,
04/04/20,,,,,,,,,,,,
04/05/20,,,,,,,,,,,,
04/06/20,,,,,,1,,,,,,
04/07/20,,,,,,,,,,,,
04/08/20,,,,,,,,,,,,
04/09/20,,,,,,,,,,,,
04/10/20,,,,,,,,,,,,
04/11/20,,,,,,,,,,,,
04/12/20,,,,,,,,,,,,
04/13/20,,,,,,1,,,,,,
04/14/20,,,,,,,,,,,,
04/15/20,,,,,,,,,,,,
04/16/20,,,,,,,,,,,,
04/17/20,,,,,,,,,,,,
04/18/20,,,,,,,,,,,,
04/19/20,,,,,,,,,,,,
04/20/20,,,,,,1,,,,,,
04/21/20,,,,,,,,,,,,
04/22/20,,,,,1,,,,1,,,
04/23/20,,,,,,,,,1,,,
04/24/20,,,1,,,,,,,,,
04/25/20,,,,,,,,,,,,
04/26/20,,,,,,,,,,,,
04/27/20,,,,,,1,1,,,,,
04/28/20,,,,,,,,,,,,
04/29/20,,,,,,,,,,,,
04/30/20,1,,,,,,,,,,,
05/01/20,,,,,,,,,,,,
05/02/20,,,,,,,,,,,,
05/03/20,,,,,,,,,,,,
05/04/20,,,,,,1,,,,,,
05/05/20,,,,,,,1,,,,,
05/06/20,,,,,,,,,,,,
05/07/20,,,,,,,,,,,,
05/08/20,,,,,,,,,,,,
05/09/20,,,,,,,,,,,,
05/10/20,,,,,,,,,,,,
05/11/20,,,,,,1,,,,,,
05/12/20,,,,,,,,,,,,
05/13/20,,,,,,,,,,,,
05/14/20,,,,,,,,,,,,
05/15/20,,,,,,,,,,,,
05/16/20,,,,,,,,,,,,
05/17/20,,,,,,,,,,,,
05/18/20,,,,,,1,,,,,,
05/19/20,,,,,,,,,,,,
05/20/20,,,,,,,,,,,,
05/21/20,,,,,1,,,,1,,,
05/22/20,,,1,,,,,,,,,
05/23/20,,,,,,,,,,,,
05/24/20,,,,,,,,,,,,
05/25/20,,,,,,,,,,,,
05/26/20,,,,,,1,,,,,,
05/27/20,,,,,,,,,,,,
05/28/20,,,,,,,,,,,,
05/29/20,1,,,,,,,,,,,
05/30/20,,,,,,,,,,,,
05/31/20,,,,,,,,,,,,
06/01/20,,,,,,1,,,,,,
06/02/20,,,,,,,,,,,,
06/03/20,,,,,,,,,,,,
06/04/20,,,,,,,1,,,,,
06/05/20,,,,,,,,,,,,
06/06/20,,,,,,,,,,,,
06/07/20,,,,,,,,,,,,
06/08/20,,,,,,1,,,,,,
06/09/20,,,,,,,,,,,,
06/10/20,,,,,,,,,,,,
06/11/20,,,,,,,,,,,,
06/12/20,,,,,,,,,,,,
06/13/20,,,,,,,,,,,,
06/14/20,,,,,,,,,,,,
06/15/20,,,,,,1,,,,,,
06/16/20,,,,,,,,,,,,
06/17/20,,,,,,,,,,,,
06/18/20,,,,,,,,,,,,
06/19/20,,,1,,,,,,,,,
06/20/20,,,,,,,,,,,,
06/21/20,,,,,,,,,,,,
06/22/20,,,,,1,1,,,,,,
06/23/20,,,,,,,,,,,,
06/24/20,,,,,,,,,,,,
06/25/20,,,,,,,,,1,,,
06/26/20,,,,,,,,,,,,
06/27/20,,,,,,,,,,,,
06/28/20,,,,,,,,,,,,
06/29/20,,,,,,1,,,,,,
06/30/20,1,,,,,,,,,,1,
07/01/20,,,,,,,1,,,,,
07/02/20,,,,,,,,,,,,
07/03/20,,,,,,,,,,,,
07/04/20,,,,,,,,,,,,
07/05/20,,,,,,,,,,,,
07/06/20,,,,,,1,,,,,,
07/07/20,,,,,,,,,,,,
07/08/20,,,,,,,,,,,,
07/09/20,,,,,,,,,,,,
07/10/20,,,,,,,,,,,,
07/11/20,,,,,,,,,,,,
07/12/20,,,,,,,,,,,,
07/13/20,,,,,,1,,,,,,
07/14/20,,,,,,,,,,,,
07/15/20,,,,,,,,,,,,
07/16/20,,,,,,,,,,,,
07/17/20,,,,,,,,,,,,
07/18/20,,,,,,,,,,,,
07/19/20,,,,,,,,,,,,
07/20/20,,,,,,1,,,,,,
07/21/20,,,,,,,,,,,,
07/22/20,,,,,1,,,,,,,
07/23/20,,,,,,,,,1,,,
07/24/20,,1,1,,,,,,,,,
07/25/20,,,,,,,,,,,,
07/26/20,,,,,,,,,,,,
07/27/20,,,,,,1,,,,,,
07/28/20,,,,,,,,,,,,
07/29/20,,,,,,,,,,,,
07/30/20,,,,,,,,,,,,
07/31/20,1,,,,,,,,,,,
08/01/20,,,,,,,,,,,,
08/02/20,,,,,,,,,,,,
08/03/20,,,,,,1,,,,,,
08/04/20,,,,,,,1,,,,,
08/05/20,,,,,,,,,,,,
08/06/20,,,,,,,,,,,,
08/07/20,,,,,,,,,,,,
08/08/20,,,,,,,,,,,,
08/09/20,,,,,,,,,,,,
08/10/20,,,,,,1,,,,,,
08/11/20,,,,,,,,,,,,
08/12/20,,,,,,,,,,,,
08/13/20,,,,,,,,,,,,
08/14/20,,,,,,,,,,,,
08/15/20,,,,,,,,,,,,
08/16/20,,,,,,,,,,,,
08/17/20,,,,,,,,,,,,
08/18/20,,,,,,,,,,,,
08/19/20,,,,,,1,,,,,,
08/20/20,,,,,,,,,1,,,
08/21/20,,,1,,,,,,,,1,
08/22/20,,,,,,,,,,,,
08/23/20,,,,,,,,,,,,
08/24/20,,,,,1,1,,,,,,
08/25/20,,,,,,,,,,,,
08/26/20,,,,,,,,,,,,
08/27/20,,,,,,,,,,,,
08/28/20,1,,,,,,,,,,,
08/29/20,,,,,,,,,,,,
08/30/20,,,,,,,,,,,,
08/31/20,,,,,,1,,,,,,
09/01/20,,,,,,,,,,,,
09/02/20,,,,,,,,,,,,
09/03/20,,,,,,,1,,,,,
09/04/20,,,,,,,,,,,,
09/05/20,,,,,,,,,,,,
09/06/20,,,,,,,,,,,,
09/07/20,,,,,,,,,,,,
09/08/20,,,,,,1,,,,,,
09/09/20,,,,,,,,,,,,
09/10/20,,,,,,,,,,,,
09/11/20,,,,,,,,,,,,
09/12/20,,,,,,,,,,,,
09/13/20,,,,,,,,,,,,
09/14/20,,,,,,1,,,,,,
09/15/20,,,,,,,,,,,,
09/16/20,,,,,,,,,,,,
09/17/20,,,,,,,,,,,,
09/18/20,,,,,,,,1,,,,
09/19/20,,,,,,,,,,,,
09/20/20,,,,,,,,,,,,
09/21/20,,,,,,1,,,,,,
09/22/20,,,,,1,,,,,,,
09/23/20,,,,,,,,,,,,
09/24/20,,,,,,,,,1,,,
09/25/20,,,1,,,,,,,,,
09/26/20,,,,,,,,,,,,
09/27/20,,,,,,,,,,,,
09/28/20,,,,,,1,,,,,,
09/29/20,,,,,,,,,,,,
09/30/20,1,,,,,,,,,,,
10/01/20,,,,,,,,,,,,
10/02/20,,,,,,,,,,,,
10/03/20,,,,,,,,,,,,
10/04/20,,,,,,,,,,,,
10/05/20,,,,,,1,1,,,,,
10/06/20,,,,,,,,,,,,
10/07/20,,,,,,,,,,,,
10/08/20,,,,,,,,,,,,
10/09/20,,,,,,,,,,,,
10/10/20,,,,,,,,,,,,
10/11/20,,,,,,,,,,,,
10/12/20,,,,,,,,,,,,
10/13/20,,,,,,1,,,,,,
10/14/20,,,,,,,,,,,,
10/15/20,,,,,,,,,,,,
10/16/20,,,,,,,,,,,,
10/17/20,,,,,,,,,,,,
10/18/20,,,,,,,,,,,,
10/19/20,,,,,,1,,,,,,
10/20/20,,,,,,,,,,,,
10/21/20,,,,,,,,,,,,
10/22/20,,,,,1,,,,1,,,1
10/23/20,,1,,,,,,,,,1,
10/24/20,,,,,,,,,,,,
10/25/20,,,,,,,,,,,,
10/26/20,,,,,,1,,,,,,
10/27/20,,,,,,,,,,,,
10/28/20,,,,,,,,,,,,
10/29/20,,,,,,,,,,,,
10/30/20,1,,,,,,,,,,,
10/31/20,,,,,,,,,,,,
11/01/20,,,,,,,,,,,,
11/02/20,,,,,,1,,,,,,
11/03/20,,,,,,,,,,,,
11/04/20,,,,,,,,,,,,
11/05/20,,,,,,,1,,,,,
11/06/20,,,,,,,,,,,,
11/07/20,,,,,,,,,,,,
11/08/20,,,,,,,,,,,,
11/09/20,,,,,,1,,,,,,
11/10/20,,,,,,,,,,,,
11/11/20,,,,,,,,,,,,
11/12/20,,,,,,,,,,,,
11/13/20,,,,,,,,,,,,
11/14/20,,,,,,,,,,,,
11/15/20,,,,,,,,,,,,
11/16/20,,,,,,1,,,,,,
11/17/20,,,,,,,,,,,,
11/18/20,,,,,,,,,,,,
11/19/20,,,,,,,,,1,,,
11/20/20,,,1,,,,,,,,,
11/21/20,,,,,,,,,,,,
11/22/20,,,,,,,,,,,,
11/23/20,,,,,1,1,,,,,,
11/24/20,,,,,,,,,,,,
11/25/20,,,,,,,,,,,,
11/26/20,,,,,,,,,,,,
11/27/20,,,,,,,,,,,,
11/28/20,,,,,,,,,,,,
11/29/20,,,,,,,,,,,,
11/30/20,1,,,,,1,,,,,,
12/01/20,,,,,,,,,,,,
12/02/20,,,,,,,,,,,,
12/03/20,,,,,,,1,,,,,
12/04/20,,,,,,,,,,,,
12/05/20,,,,,,,,,,,,
12/06/20,,,,,,,,,,,,
12/07/20,,,,,,,,,,,,
12/08/20,,,,1,,,,,,,,
12/09/20,,,,,,,,,,,,
12/10/20,,,,,,,,,,,,
12/11/20,,,,,,,,,,,,
12/12/20,,,,,,,,,,,,
12/13/20,,,,,,,,,,,,
12/14/20,,,,,,,,,,,,
12/15/20,,,,,,,,,,,,
12/16/20,,,,,,,,,,,,
12/17/20,,,,,,,,,,,,
12/18/20,,,1,,,,,,,,,
12/19/20,,,,,,,,,,,,
12/20/20,,,,,,,,,,,,
12/21/20,,,,,,,,,,,,
12/22/20,,,,,1,,,1,,,,
12/23/20,,,,,,,,,1,,,
12/24/20,,,,,,,,,,,,
12/25/20,,,,,,,,,,,,
12/26/20,,,,,,,,,,,,
12/27/20,,,,,,,,,,,,
12/28/20,,,,,,,,,,,,
12/29/20,,,,,,,,,,,,
12/30/20,1,,,,,,,,,,,
12/31/20,,,,,,,,,,,,
